"District","EligibleVoters","TotalValidVotes","FJPVotes","FJPPCT","NourVotes","NourPCT","WafdVotes","WafdPCT","EGBlocVotes","EGBlocPCT","AlWasatVotes","AlWasatPCT","RevContVotes","RevContPCT","AlAdlVotes","AlAdlPCT","NatPartyofEGVotes","NatPartyofEGPCT","DemPeaceVotes","DemPeacePCT","RDvotes","RDPCT","EgyptRevVotes","EgyptRevPCT","EGCitVotes","EGCitPCT","FreedomVotes","Freedom PCT","ModEGVotes","ModEGPCT","NasserVotes","NasserPCT","GhadVotes","GhadPCT","AwareVotes","AwarePCT","NewIndVotes","NewIndPCT","ConservVotes","ConservPCT","LibSocConVotes","LibSocConPCT","EgyptianRevVotes","EgyptianRevPCT","UnionVotes","UnionPCT","EGArabUnionVotes","EGArabUnionPCT","DemFrontVotes","DemFrontPCT","HumRigVotes","HumRigPCT","SocPeaceVotes","SocPeacePCT","ArabJEVotes","ArabJEPCT","GuardRevVotes","GuardRevPCT","NationVotes","NationPCT","EGPartyPJVotes","EGPartyPJPCT","FreeSoConVotes","FreeSoConPCT","EGTahrirVotes","EGTahrirPCT","FreeVotes","FreePCT","EGVoiceVotes","EGVoicePCT","FreeEgyVotes","FreeEgyPCT","FreeSocVotes","FreeSocPCT","EGSocDemVotes","EGSocDemPCT","DemPeopleVotes","DemPeoplePCT"
"Qena 2",843460,337728,87911,26.00%,64693,19.20%,20223,6.00%,,0.00%,11631,3.40%,,,4316,1.30%,,,13540,4.00%,12274,3.60%,,,11230,3.30%,39608,11.70%,,,,,,,,,,,,,,,,,17868,5.30%,7931,2.30%,,,,,5520,1.60%,,,4773,1.40%,,,,,,,,,,,,,13831,4.10%,,,22379,6.60%,,
"Red Sea",221011,114022,40693,35.70%,,,11049,9.70%,19391,17.00%,6285,5.50%,4776,4.20%,1556,1.40%,,,,,,,,,16222,14.20%,9467,8.30%,,,,,,,,,,,,,,,,,,,,,1427,1.30%,,,,,3156,2.80%,,,,,,,,,,,,,,,,,,,,,,
"Sharqiya 1",2704927,1138924,432693,38.00%,302376,26.50%,119904,10.50%,76067,6.70%,25430,2.20%,22948,2.00%,7868,0.70%,,,8929,0.80%,13160,1.20%,,,7840,0.70%,9396,0.80%,4201,0.40%,24882,2.20%,5687,0.50%,,,20483,1.80%,14991,1.30%,,,,,,,9103,0.80%,,,,,,,16685,1.50%,,,,,13160,1.20%,3121,0.30%,,,,,,,,,,,,,,
"Sharqiya 2",1846824,1197875,425680,35.50%,249119,20.80%,167101,13.90%,45680,3.80%,36045,3.00%,10803,0.90%,6066,0.50%,15954,1.30%,17284,1.40%,11069,0.90%,,,40328,3.40%,,,7030,0.60%,26792,2.20%,11993,1.00%,,,46753,3.90%,8696,0.70%,,,3879,0.30%,,,58107,4.90%,,,,,,,,,,,,,,,,,9496,0.80%,,,,,,,,,,,,
"Souhag 1",1392941,783535,222672,28.40%,229829,29.30%,36448,4.70%,125083,16.00%,21785,2.80%,9660,1.20%,,,,,8314,1.10%,22248,2.80%,,,20323,2.60%,11796,1.50%,,,19336,2.50%,4513,0.60%,,,,,10236,1.30%,,,,,,,,,20016,2.60%,,,8756,1.10%,8946,1.10%,,,,,,,,,3574,0.50%,,,,,,,,,,,,
"Souhag 2",929957,335261,76121,22.70%,64173,19.10%,29339,8.80%,51661,15.40%,16143,4.80%,5014,1.50%,4606,1.40%,,,4487,1.30%,16609,5.00%,,,21893,6.50%,14650,4.40%,,,1604,0.50%,,,,,,,9396,2.80%,,,,,14963,4.50%,,,4602,1.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Sinai",60496,33701,14334,42.50%,,,5614,16.70%,3766,11.20%,840,2.50%,,,,,,,,,5545,16.50%,,,,,2047,6.10%,331,1.00%,,,,,,,,,,,,,,,912,2.70%,,,,,,,,,312,0.90%,,,,,,,,,,,,,,,,,,,,,,
"Suez",378917,280661,75316,26.80%,127836,45.50%,12983,4.60%,23488,8.40%,14396,5.10%,,,2942,1.00%,11945,4.30%,,,2891,1.00%,,,,,3271,1.20%,,,2520,0.90%,,,,,,,1692,0.60%,,,,,,,,,1381,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOTAL",51373813,29719955,10704266,36.00%,7999429,26.90%,2622298,8.80%,2599823,8.70%,1045779,3.50%,816392,2.70%,186216,0.60%,456308,1.50%,288285,1.00%,655002,2.20%,95492,0.30%,279607,0.90%,555650,1.90%,60512,0.20%,158499,0.50%,106613,0.40%,20406,0.10%,139560,0.50%,297265,1.00%,3047,0.00%,56613,0.20%,163267,0.50%,155644,0.50%,65197,0.20%,4436,0.00%,19633,0.10%,48960,0.20%,10668,0.00%,7352,0.00%,21090,0.10%,6666,0.00%,13070,0.00%,2382,0.00%,7591,0.00%,13831,0.00%,10450,0.00%,22379,0.10%,277,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Provisional Results published on the official website of the Supreme Judicial Committee for Elections (www.elections.eg, 2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
