"District";"EligibleVoters";"TotalValidVotes";"FJPVotes";"FJPPCT";"NourVotes";"NourPCT";"WafdVotes";"WafdPCT";"EGBlocVotes";"EGBlocPCT";"AlWasatVotes";"AlWasatPCT";"RevContVotes";"RevContPCT";"AlAdlVotes";"AlAdlPCT";"NatPartyofEGVotes";"NatPartyofEGPCT";"DemPeaceVotes";"DemPeacePCT";"RDvotes";"RDPCT";"EgyptRevVotes";"EgyptRevPCT";"EGCitVotes";"EGCitPCT";"FreedomVotes";"Freedom PCT";"ModEGVotes";"ModEGPCT";"NasserVotes";"NasserPCT";"GhadVotes";"GhadPCT";"AwareVotes";"AwarePCT";"NewIndVotes";"NewIndPCT";"ConservVotes";"ConservPCT";"LibSocConVotes";"LibSocConPCT";"EgyptianRevVotes";"EgyptianRevPCT";"UnionVotes";"UnionPCT";"EGArabUnionVotes";"EGArabUnionPCT";"DemFrontVotes";"DemFrontPCT";"HumRigVotes";"HumRigPCT";"SocPeaceVotes";"SocPeacePCT";"ArabJEVotes";"ArabJEPCT";"GuardRevVotes";"GuardRevPCT";"NationVotes";"NationPCT";"EGPartyPJVotes";"EGPartyPJPCT";"FreeSoConVotes";"FreeSoConPCT";"EGTahrirVotes";"EGTahrirPCT";"FreeVotes";"FreePCT";"EGVoiceVotes";"EGVoicePCT";"FreeEgyVotes";"FreeEgyPCT";"FreeSocVotes";"FreeSocPCT";"EGSocDemVotes";"EGSocDemPCT";"DemPeopleVotes";"DemPeoplePCT"
"Giza (2)";" 4,262,272 ";" 2,836,028 ";" 1,118,236 ";39.40%;" 811,092 ";28.60%;" 174,926 ";6.20%;" 291,563 ";10.30%;" 167,298 ";5.90%;" 40,077 ";1.40%;" -   ";;" 41,771 ";1.50%;" 34,249 ";1.20%;" 43,250 ";1.50%;" 21,581 ";0.80%;" -   ";;" 40,266 ";1.40%;" -   ";;" -   ";;" 15,641 ";0.60%;" -   ";;" -   ";;" 24,912 ";0.90%;" -   ";" -   ";" 11,166 ";0.40%;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Ismailiya";" 696,351 ";" 481,384 ";" 183,859 ";38.20%;" 132,992 ";27.60%;" 35,637 ";7.40%;" 31,998 ";6.60%;" 10,138 ";2.10%;" 5,873 ";1.20%;" -   ";;" 7,244 ";1.50%;" -   ";0.00%;" 2,264 ";0.50%;" -   ";;" -   ";;" 3,979 ";0.80%;" 1,363 ";0.30%;" -   ";;" -   ";;" 17,226 ";3.60%;" 15,964 ";3.30%;" 4,632 ";1.00%;" -   ";" -   ";" 5,590 ";1.20%;" -   ";;" 7,094 ";1.50%;" 2,204 ";0.50%;" -   ";" -   ";" -   ";;" 13,327 ";2.80%;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Kafr El Shiekh (2)";" 1,863,834 ";" 1,014,531 ";" 306,550 ";30.20%;" 344,661 ";34.00%;" 133,102 ";13.10%;" 6,976 ";0.70%;" 31,815 ";3.10%;" 17,979 ";1.80%;" -   ";;" 31,847 ";3.10%;" 17,002 ";1.70%;" 64,886 ";6.40%;" -   ";;" 10,770 ";1.10%;" 11,109 ";1.10%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" 22,327 ";2.20%;" -   ";;" 15,507 ";1.50%;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Luxor";" 667,254 ";" 321,285 ";" 118,566 ";36.90%;" 50,691 ";15.80%;" 35,533 ";11.10%;" 41,726 ";13.00%;" 10,098 ";3.10%;" -   ";;" 8,712 ";2.70%;" -   ";;" -   ";0.00%;" 5,732 ";1.80%;" -   ";;" -   ";;" 25,279 ";7.90%;" 8,279 ";2.60%;" -   ";;" 7,495 ";2.30%;" -   ";;" -   ";;" 3,279 ";1.00%;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" 5,895 ";1.80%;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Matrouh";" 199,607 ";" 112,860 ";" 16,314 ";14.50%;" 76,511 ";67.80%;" 7,655 ";6.80%;" 1,977 ";1.80%;" 3,873 ";3.40%;" -   ";;375;0.30%;" -   ";;" -   ";0.00%;" 1,210 ";1.10%;" -   ";;" -   ";;" 2,755 ";2.40%;" -   ";;" -   ";;895;0.80%;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;656;0.60%;457;0.40%;" -   ";" -   ";" -   ";;182;0.20%;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Menoufiya (2)";" 2,148,798 ";" 1,305,208 ";" 479,395 ";36.70%;" 247,721 ";19.00%;" 243,450 ";18.70%;" 37,973 ";2.90%;" 47,721 ";3.70%;" 11,280 ";0.90%;" -   ";;" 92,748 ";7.10%;" 20,064 ";1.50%;" 85,161 ";6.50%;" -   ";;" -   ";;" 4,299 ";0.30%;" -   ";;" -   ";;" 18,108 ";1.40%;" -   ";;" -   ";;" 17,288 ";1.30%;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Minya (2)";" 2,642,476 ";" 1,462,942 ";" 605,664 ";41.40%;" 365,220 ";25.00%;" 75,222 ";5.10%;" 177,638 ";12.10%;" 77,841 ";5.30%;" 7,563 ";0.50%;" -   ";;" -   ";;" 5,163 ";0.40%;" 26,011 ";1.80%;" -   ";;" -   ";;" 111,858 ";7.60%;" -   ";;" 7,217 ";0.50%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" 3,545 ";0.20%;" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"North Sinai";" 203,346 ";" 111,221 ";" 39,315 ";35.30%;" 29,623 ";26.60%;" 6,389 ";5.70%;" 1,828 ";1.60%;" 7,913 ";7.10%;" -   ";;" -   ";;" 2,787 ";2.50%;" -   ";0.00%;" 10,420 ";9.40%;" -   ";;574;0.50%;" 5,877 ";5.30%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" 2,585 ";2.30%;" -   ";" -   ";" -   ";;368;0.30%;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" 3,265 ";2.90%;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";277;0.20%
"Port Said";" 437,134 ";" 295,556 ";" 96,532 ";32.70%;" 61,136 ";20.70%;" 41,059 ";13.90%;" 28,510 ";9.60%;" 38,080 ";12.90%;" 5,460 ";1.80%;" -   ";;" 6,681 ";2.30%;" -   ";0.00%;" 3,091 ";1.00%;" -   ";;" -   ";;" -   ";;" 1,298 ";0.40%;" -   ";;" -   ";;" -   ";;" -   ";;" 2,331 ";0.80%;" -   ";" -   ";" 4,388 ";1.50%;" -   ";;" 5,704 ";1.90%;" -   ";;" -   ";" -   ";" 1,286 ";0.40%;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";
"Qalubiya (2)";" 2,583,418 ";" 1,734,774 ";" 650,024 ";37.50%;" 479,405 ";27.60%;" 136,887 ";7.90%;" 114,536 ";6.60%;" 58,848 ";3.40%;" 34,179 ";2.00%;" -   ";;" 63,680 ";3.70%;" 10,968 ";0.60%;" 64,125 ";3.70%;" -   ";;" -   ";;" 53,078 ";3.10%;" -   ";;" 13,855 ";0.80%;" 7,331 ";0.40%;" -   ";;" 9,928 ";0.60%;" 5,711 ";0.30%;" -   ";" -   ";" 5,610 ";0.30%;" -   ";;" 18,679 ";1.10%;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" 7,930 ";0.50%;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";
